url,true_label,predicted,confidence,correct
https://cache2.pakwheels.com/carsure_report_pictures/images/035/071/041/original/JPEG_20260304_102230_6897099922897553509.jpg?1772601754,lamp_broken,scratch,0.353,False
https://cache2.pakwheels.com/carsure_report_pictures/images/032/870/401/original/JPEG_20251228_095231_2266555998037796134.jpg?1766897553,lamp_broken,scratch,0.3137,False
https://cache4.pakwheels.com/carsure_report_pictures/images/034/244/369/original/JPEG_20260205_151938_689141204128911307.jpg?1770286780,lamp_broken,scratch,0.4707,False
https://cache2.pakwheels.com/carsure_report_pictures/images/033/904/845/original/JPEG_20260127_160316_7023445794624571078.jpg?1769511799,lamp_broken,scratch,0.7897,False
https://cache3.pakwheels.com/carsure_report_pictures/images/035/128/165/original/JPEG_20260305_161551_1326067501653755013.jpg?1772709353,lamp_broken,dent,0.5657,False
https://cache4.pakwheels.com/carsure_report_pictures/images/034/919/138/original/JPEG_20260226_154206_621055147329889835.jpg?1772102528,lamp_broken,lamp_broken,0.488,True
https://cache1.pakwheels.com/carsure_report_pictures/images/033/439/585/original/JPEG_20260114_140433_1782902259520105272.jpg?1768381477,lamp_broken,dent,0.7899,False
https://cache2.pakwheels.com/carsure_report_pictures/images/035/125/941/original/JPEG_20260305_155520_501234198341302386.jpg?1772708122,lamp_broken,dent,0.608,False
https://cache1.pakwheels.com/carsure_report_pictures/images/032/870/399/original/JPEG_20251228_095226_4184695347272493646.jpg?1766897548,lamp_broken,scratch,0.8214,False
https://cache2.pakwheels.com/carsure_report_pictures/images/034/119/640/original/JPEG_20260202_123033_3039942521642364554.jpg?1770017436,lamp_broken,scratch,0.8653,False
https://cache1.pakwheels.com/carsure_report_pictures/images/035/070/953/original/JPEG_20260304_101750_8193095724243469399.jpg?1772601474,lamp_broken,scratch,0.9812,False
https://cache2.pakwheels.com/carsure_report_pictures/images/034/215/055/original/JPEG_20260204_165802_8464690403259800958.jpg?1770206326,lamp_broken,lamp_broken,0.4352,True
https://cache1.pakwheels.com/carsure_report_pictures/images/034/610/113/original/JPEG_20260217_093932_7635379136894071446.jpg?1771303173,lamp_broken,scratch,0.6096,False
https://cache3.pakwheels.com/carsure_report_pictures/images/033/711/760/original/JPEG_20260122_102454_9012676519039290802.jpg?1769059496,lamp_broken,lamp_broken,0.5821,True
https://cache4.pakwheels.com/carsure_report_pictures/images/034/918/936/original/JPEG_20260226_154007_1564352725986390212.jpg?1772102408,lamp_broken,scratch,0.566,False
https://cache2.pakwheels.com/carsure_report_pictures/images/035/086/790/original/JPEG_20260304_143903_492625818549995548.jpg?1772617145,lamp_broken,Normal,0.7067,False
https://cache3.pakwheels.com/carsure_report_pictures/images/033/440/839/original/JPEG_20260114_141805_1832468833184039450.jpg?1768382287,lamp_broken,scratch,0.2882,False
https://cache4.pakwheels.com/carsure_report_pictures/images/035/094/006/original/JPEG_20260304_155844_1565780504238077144.jpg?1772621929,lamp_broken,dent,0.856,False
https://cache3.pakwheels.com/carsure_report_pictures/images/033/963/122/original/JPEG_20260129_092947_6564257079839332399.jpg?1769660993,lamp_broken,dent,0.8793,False
https://cache4.pakwheels.com/carsure_report_pictures/images/033/713/705/original/JPEG_20260122_105240_551114407975116565.jpg?1769061163,lamp_broken,Normal,0.4884,False
https://cache3.pakwheels.com/carsure_report_pictures/images/034/918/822/original/JPEG_20260226_153849_5897930553334844743.jpg?1772102330,lamp_broken,dent,0.7683,False
https://cache2.pakwheels.com/carsure_report_pictures/images/034/122/041/original/JPEG_20260202_125809_7281251844659399923.jpg?1770019093,lamp_broken,dent,0.4391,False
https://cache1.pakwheels.com/carsure_report_pictures/images/034/844/454/original/JPEG_20260224_143511_8685480748141366842.jpg?1771925712,lamp_broken,dent,0.2587,False
https://cache4.pakwheels.com/carsure_report_pictures/images/030/640/199/original/JPEG_20251025_125043_2513278212679967137.jpg?1761378645,lamp_broken,scratch,0.7787,False
https://cache2.pakwheels.com/carsure_report_pictures/images/034/119/538/original/JPEG_20260202_122945_5207074945479650476.jpg?1770017388,lamp_broken,tire_flat,0.8892,False
https://cache1.pakwheels.com/carsure_report_pictures/images/031/950/422/original/JPEG_20251202_090401_8052493296093353974.jpg?1764648243,lamp_broken,dent,0.6268,False
https://cache4.pakwheels.com/carsure_report_pictures/images/033/963/083/original/JPEG_20260129_092914_1642473059087509150.jpg?1769660956,lamp_broken,dent,0.8126,False
https://cache2.pakwheels.com/carsure_report_pictures/images/032/869/943/original/JPEG_20251228_092826_8714408561094112354.jpg?1766896108,lamp_broken,lamp_broken,0.3423,True
https://cache3.pakwheels.com/carsure_report_pictures/images/034/120/528/original/JPEG_20260202_123852_3466710609999268243.jpg?1770017934,lamp_broken,dent,0.8448,False
https://cache1.pakwheels.com/carsure_report_pictures/images/034/121/653/original/JPEG_20260202_125119_700503470165169986.jpg?1770018682,lamp_broken,dent,0.4704,False
https://cache1.pakwheels.com/carsure_report_pictures/images/032/870/392/original/JPEG_20251228_095152_726539745656848297.jpg?1766897513,lamp_broken,dent,0.5999,False
https://cache1.pakwheels.com/carsure_report_pictures/images/035/128/171/original/JPEG_20260305_161554_1165158927581033247.jpg?1772709356,lamp_broken,Normal,0.8135,False
https://cache3.pakwheels.com/carsure_report_pictures/images/035/073/802/original/JPEG_20260304_111139_9187503752717364998.jpg?1772604701,lamp_broken,tire_flat,0.9983,False
https://cache3.pakwheels.com/carsure_report_pictures/images/034/119/397/original/JPEG_20260202_122834_7567253862923975995.jpg?1770017316,lamp_broken,dent,0.4718,False
https://cache3.pakwheels.com/carsure_report_pictures/images/034/927/451/original/JPEG_20260227_092824_7329855557519400025.jpg?1772166505,lamp_broken,lamp_broken,0.6943,True
https://cache3.pakwheels.com/carsure_report_pictures/images/034/842/045/original/JPEG_20260224_142016_1089342257415998581.jpg?1771924817,lamp_broken,Normal,0.7643,False
https://cache4.pakwheels.com/carsure_report_pictures/images/033/624/240/original/JPEG_20260119_172300_818735480932952932.jpg?1768825385,lamp_broken,dent,0.506,False
https://cache4.pakwheels.com/carsure_report_pictures/images/035/072/443/original/JPEG_20260304_104827_7782083627405560642.jpg?1772603330,lamp_broken,dent,0.4618,False
https://cache4.pakwheels.com/carsure_report_pictures/images/034/919/133/original/JPEG_20260226_154202_8793529829436342482.jpg?1772102524,lamp_broken,scratch,0.6584,False
https://cache2.pakwheels.com/carsure_report_pictures/images/035/074/648/original/JPEG_20260304_112911_895465143563225646.jpg?1772605752,lamp_broken,scratch,0.772,False
https://cache4.pakwheels.com/carsure_report_pictures/images/034/121/635/original/JPEG_20260202_125110_4148244377468399023.jpg?1770018673,lamp_broken,Normal,0.9419,False
https://cache2.pakwheels.com/carsure_report_pictures/images/031/950/489/original/JPEG_20251202_090628_665925029905401127.jpg?1764648391,lamp_broken,Normal,0.6173,False
